Name,Gender,Salary,Departments,Position
봉소영,male,24250,design,assistant
음승민,male,29649,marketing,assistant
한유진,female,23519,marketing,intern
위해나,male,10353,finance,manager
함채율,male,8162,finance,header
가예솔,male,15766,marketing,assistant
성도진,male,14780,finance,manager
방성진,male,13398,marketing,assistant
우정민,female,10615,marketing,manager
나도윤,male,20204,marketing,intern
팽채율,male,6625,design,assistant
동예성,male,26267,finance,header
설지오,male,7514,IT,manager
좌유민,male,28831,marketing,assistant
안은우,male,20719,finance,assistant
성지후,male,13272,marketing,assistant
장지한,male,27762,design,intern
은정현,female,26217,advertising,assistant
금재영,male,12278,marketing,manager
현현우,female,16468,advertising,assistant
견민성,female,8908,marketing,assistant
팽혜윤,female,4156,advertising,intern
신고은,male,24315,finance,manager
두윤채,male,12891,marketing,manager
어준,female,6226,marketing,assistant
태건,female,11458,marketing,assistant
시시환,male,11402,marketing,manager
은은솔,male,8756,advertising,intern
피찬,female,26126,marketing,header
하이든,male,23573,marketing,assistant
시도연,male,16678,IT,assistant
용상민,female,4124,IT,manager
채은채,male,7997,marketing,assistant
류지후,male,10872,marketing,assistant
라진혁,male,28446,advertising,manager
함소영,male,23585,IT,intern
고민혁,female,5675,marketing,manager
온예서,male,6111,finance,assistant
여리나,male,5446,marketing,header
여현승,male,8570,marketing,assistant
현다혜,male,27873,IT,header
황상민,male,23193,marketing,manager
공태오,female,8836,advertising,assistant
동주호,male,13767,advertising,assistant
석윤후,male,27329,advertising,manager
소우영,female,3774,IT,header
사태경,female,19868,advertising,assistant
왕설,female,16983,IT,manager
임지율,male,8970,marketing,assistant
우승준,female,19247,marketing,manager
황제이,male,20951,marketing,assistant
감지혜,male,14934,marketing,assistant
용도원,female,26812,marketing,manager
사하성,female,17741,marketing,assistant
육민기,male,28626,design,manager
용시헌,male,18771,marketing,manager
여강민,female,26806,marketing,manager
손은혜,male,28347,marketing,assistant
천태은,female,28387,advertising,assistant
방유리,female,23528,marketing,header
홍서후,female,8102,design,header
홍연지,male,13280,marketing,manager
감승재,male,7645,marketing,assistant
선우주,male,9072,advertising,intern
도다빈,male,9398,marketing,assistant
선다온,female,14771,advertising,assistant
맹민정,male,21159,marketing,assistant
함시온,female,16489,marketing,manager
변루아,male,28530,marketing,assistant
인지후,female,29899,advertising,manager
류은서,female,5768,IT,assistant
차시안,male,13104,marketing,manager
범라엘,female,6809,advertising,header
차은우,male,5830,advertising,assistant
민보미,male,13192,design,assistant
우하음,male,21796,IT,manager
안도원,male,11143,marketing,assistant
호지연,male,16979,marketing,manager
왕하진,female,7967,advertising,assistant
옥예원,male,23899,marketing,assistant
방한나,male,24167,marketing,assistant
편하나,male,27777,marketing,header
승하빈,male,5802,design,manager
제주하,male,8968,marketing,header
형우빈,male,28962,advertising,header
홍은지,male,8847,marketing,manager
임도겸,male,14804,marketing,assistant
최정연,female,11152,advertising,header
길상우,male,11094,advertising,manager
진하율,female,14057,finance,assistant
방태희,female,15850,finance,intern
김주아,male,5761,IT,header
진단비,female,7503,marketing,assistant
배은솔,female,11768,marketing,assistant
임예솔,male,9115,design,assistant
견성준,male,15777,marketing,header
민유리,female,18617,advertising,assistant
진예슬,female,13368,marketing,assistant
경정윤,female,9281,marketing,assistant
어하은,male,5898,advertising,manager
금미소,female,21788,marketing,assistant
마대현,male,12796,marketing,manager
류정민,female,17175,advertising,manager
빈예빈,male,9948,marketing,manager
엄세영,male,17493,advertising,manager
추다율,male,10965,advertising,assistant
동준후,male,29811,design,assistant
허태인,male,22888,marketing,intern
편채빈,female,26379,finance,header
승하진,female,11838,design,assistant
배세인,male,25899,marketing,assistant
채동준,female,14130,marketing,manager
가아진,male,12217,marketing,assistant
연하진,female,29560,IT,manager
이수현,male,9119,marketing,header
표이서,male,14860,finance,assistant
육상우,male,16429,marketing,manager
곽예나,male,5671,marketing,assistant
승성현,female,12909,advertising,manager
편주희,female,21891,design,assistant
김시호,male,28464,advertising,manager
태아라,male,14672,marketing,intern
문소담,female,3520,marketing,assistant
나율,female,29445,marketing,assistant
팽유민,male,4088,design,manager
조지원,male,8331,design,assistant
피현,female,12175,marketing,assistant
탁태이,male,29579,marketing,manager
남다영,male,18756,marketing,assistant
구석현,male,24093,marketing,assistant
단슬아,male,3724,marketing,assistant
황시헌,female,15390,marketing,assistant
옥유현,male,29339,marketing,manager
신준원,female,18339,marketing,intern
동도은,female,5970,advertising,intern
길연서,male,14927,marketing,assistant
선솔,female,21846,marketing,intern
갈태양,male,25644,marketing,intern
손수민,female,10677,marketing,assistant
마정후,female,12663,marketing,manager
표나영,male,22232,marketing,intern
염혜정,male,22204,marketing,assistant
형태경,male,6622,advertising,assistant
서지민,male,12121,design,intern
안이서,male,29599,finance,assistant
상규민,male,20034,IT,assistant
석주환,male,6884,marketing,intern
당태하,female,22121,marketing,intern
반하은,female,11942,marketing,assistant
옥가인,male,9379,marketing,manager
백서윤,female,15142,marketing,assistant
양도준,male,12530,IT,manager
주나현,female,3673,design,manager
정성훈,male,15247,marketing,assistant
국하빈,female,20753,marketing,manager
봉아연,male,26113,advertising,assistant
표하율,female,15678,marketing,manager
태정현,male,20021,advertising,assistant
황나연,female,28901,marketing,manager
맹정훈,female,19253,marketing,manager
모지수,female,16135,advertising,assistant
마서율,female,18536,advertising,manager
변이나,male,18586,marketing,manager
조진혁,male,10581,marketing,manager
어도아,male,6137,marketing,manager
최정원,female,22195,marketing,header
갈도원,female,14861,marketing,header
심연우,male,19548,design,assistant
국예빈,male,7282,finance,assistant
방진서,female,27652,advertising,assistant
석세영,male,13149,advertising,manager
이윤성,female,18427,marketing,assistant
현유경,male,6310,design,assistant
신해나,female,20770,marketing,assistant
함성준,male,11391,marketing,assistant
성도준,male,26459,advertising,assistant
조승연,female,22664,marketing,manager
음태환,male,13295,advertising,manager
조지민,male,5469,IT,manager
서도윤,female,9975,advertising,header
옥원준,female,25131,marketing,assistant
위도진,male,14860,advertising,assistant
최재하,male,9784,marketing,manager
위유리,male,18321,marketing,header
지이서,male,29370,marketing,assistant
방정민,female,14595,marketing,manager
하동하,male,18332,marketing,manager
설상민,male,26341,advertising,assistant
진가빈,male,24499,marketing,assistant
연예림,male,23944,advertising,assistant
호다경,female,8593,marketing,assistant
길나영,male,20492,design,assistant
목준현,male,13009,design,manager
갈영준,male,13317,advertising,intern
두보경,male,9613,IT,intern
문은채,male,22779,marketing,assistant
노정윤,female,22674,marketing,header
사서준,male,7769,advertising,intern
라아현,male,28824,finance,manager
우로운,female,6336,design,assistant
당현아,male,3890,advertising,manager
선규민,female,28642,marketing,manager
손윤찬,male,14508,marketing,manager
탁예준,male,9659,marketing,manager
간별,male,27871,marketing,assistant
문태연,male,9447,design,assistant
변윤찬,male,13142,marketing,manager
조리나,female,13479,marketing,header
도승민,male,9944,design,manager
공서진,male,12226,finance,assistant
박동윤,male,26789,marketing,assistant
함채영,male,29133,marketing,header
여채린,female,19322,advertising,assistant
반유민,male,19242,marketing,header
조지민,female,25223,IT,header
가건우,female,21838,marketing,manager
김시윤,female,24441,advertising,assistant
한서준,male,21283,marketing,assistant
국준서,female,15948,marketing,manager
손지혜,male,8864,marketing,intern
현여준,female,15076,marketing,assistant
감동하,female,19270,marketing,manager
국재율,female,8187,advertising,assistant
용승연,male,20033,marketing,header
가세영,male,27639,marketing,manager
남가온,male,16955,finance,intern
위동윤,male,14471,advertising,header
사민재,male,11377,IT,manager
도지수,male,4591,design,assistant
주재하,male,5712,marketing,assistant
남유준,female,9559,marketing,assistant
송정현,male,27204,design,assistant
인루아,female,14361,IT,manager
천유준,male,13389,marketing,manager
양재이,male,23960,marketing,manager
조서진,male,5079,marketing,manager
명다희,female,25447,marketing,assistant
모가현,male,9459,marketing,assistant
호우현,male,27393,marketing,manager
신유진,male,10560,marketing,assistant
도유경,female,18821,marketing,header
마윤찬,male,8577,marketing,assistant
육도진,female,20276,finance,manager
임소민,male,6451,advertising,header
변도은,male,29818,marketing,manager
장은우,male,9340,marketing,intern
태현서,male,14357,IT,intern
갈시훈,male,3415,marketing,manager
염진혁,male,13560,IT,manager
어성현,male,23929,marketing,assistant
하준,male,11755,marketing,assistant
빈수혁,female,22429,marketing,manager
지예슬,male,17383,marketing,manager
조수현,female,27930,advertising,manager
승지우,female,20872,advertising,manager
빈동규,male,29237,IT,manager
모시현,male,3415,IT,manager
피승찬,male,18139,marketing,manager
편찬영,male,25496,marketing,assistant
팽유건,male,29456,IT,intern
신선호,male,5632,marketing,intern
한민혁,male,27155,finance,manager
복태환,female,20333,finance,manager
박시안,male,13172,marketing,assistant
사하리,female,11586,marketing,manager
제하늘,female,27644,finance,assistant
강민지,male,8324,marketing,manager
승하람,male,19382,marketing,manager
예도연,male,10866,marketing,header
문동우,female,18464,marketing,assistant
남정후,female,26080,advertising,header
소이현,female,10840,marketing,assistant
여재인,female,3313,marketing,header
민동혁,male,19715,advertising,assistant
배지웅,male,11714,advertising,manager
우시완,female,28450,marketing,manager
고은서,male,9702,IT,assistant
임도경,male,19943,marketing,assistant
감민경,male,25923,marketing,manager
나태성,male,14750,advertising,header
민서인,female,12324,advertising,assistant
주지율,male,17360,finance,assistant
문이서,male,7464,design,assistant
고하랑,male,27670,marketing,assistant
정태린,male,20691,finance,assistant
윤동규,male,29358,design,intern
국아름,male,4415,marketing,assistant
갈민찬,female,3547,finance,manager
금윤채,male,14625,marketing,intern
최설,male,11541,marketing,assistant
맹준현,female,3272,IT,manager
엄준원,female,21386,IT,manager
변효주,female,17310,design,assistant
구다연,male,15664,design,assistant
온주호,female,5261,marketing,manager
남승민,male,24218,advertising,intern
석현호,male,24902,marketing,assistant
도산,male,27062,IT,assistant
옥시완,male,24231,marketing,manager
오민정,male,4980,marketing,assistant
권단아,male,29992,advertising,assistant
선도겸,female,14975,IT,manager
부하랑,female,22834,IT,manager
주소현,male,26928,design,intern
승하성,female,6346,marketing,assistant
곽민정,male,29367,IT,assistant
우새봄,male,21166,marketing,assistant
모예성,male,4140,marketing,assistant
정소율,female,17538,design,assistant
어은설,female,10240,advertising,manager
서승찬,female,16522,marketing,assistant
배유안,male,18153,advertising,manager
변요한,male,23383,finance,manager
함아름,female,22073,marketing,assistant
손단비,male,3059,marketing,intern
경은서,female,12102,advertising,manager
가연재,male,27759,advertising,intern
원하민,female,23634,finance,assistant
장정현,male,28611,advertising,assistant
백유민,male,18640,finance,assistant
기하성,male,3512,marketing,assistant
사도은,male,15604,finance,assistant
채재호,female,23289,IT,header
백가영,male,4228,design,assistant
나은솔,female,27772,advertising,manager
시은솔,female,17780,marketing,manager
문세영,male,20495,advertising,assistant
경은찬,female,24251,marketing,assistant
조준희,male,20670,marketing,manager
윤지윤,female,25232,marketing,manager
마우영,male,16017,marketing,intern
최로운,male,23177,marketing,assistant
배채윤,male,17012,IT,assistant
안지오,male,28317,advertising,assistant
채재현,male,19667,marketing,manager
탁강우,male,18092,marketing,assistant
공현석,female,5488,finance,intern
선세아,male,11768,advertising,intern
서승재,female,27487,marketing,header
신도아,female,28583,marketing,assistant
임설,male,13577,marketing,assistant
추지호,male,17443,marketing,assistant
안민주,female,3640,marketing,manager
우가온,female,12702,design,assistant
봉유현,female,27694,marketing,intern
경윤,male,23598,design,assistant
함율,female,11542,design,assistant
천세아,male,17197,marketing,manager
추민하,male,8488,marketing,manager
방도연,male,11504,IT,manager
문세린,female,4864,design,assistant
위지호,female,23029,marketing,intern
채은재,female,6000,advertising,assistant
음원우,male,8753,marketing,assistant
맹예슬,male,20070,marketing,intern
사다희,male,24160,design,assistant
맹도훈,male,6782,marketing,assistant
가준희,male,28917,marketing,assistant
복세현,female,7712,IT,assistant
염재현,male,5410,marketing,manager
권성준,male,9813,IT,header
권지율,male,4963,IT,assistant
우시완,male,11403,marketing,manager
상준원,male,18479,marketing,header
간시우,male,22605,design,manager
최준수,female,25009,marketing,manager
감소원,female,9522,marketing,assistant
공혜정,female,20781,marketing,assistant
하하랑,male,29396,marketing,assistant
성우찬,male,20895,IT,manager
한아윤,male,4150,marketing,header
승승민,female,8655,marketing,header
어유안,male,15709,marketing,assistant
나주혁,male,10468,marketing,header
윤정원,female,19673,marketing,assistant
예찬,female,20980,advertising,assistant
경소윤,male,29865,marketing,manager
왕이나,female,28086,marketing,assistant
이소희,male,24348,marketing,manager
탁정훈,male,24960,marketing,assistant
복서윤,male,19714,design,intern
상서린,male,25914,advertising,manager
민재훈,male,18610,finance,assistant
설동윤,male,16469,advertising,assistant
변주하,male,19077,marketing,assistant
맹채율,female,15299,marketing,assistant
민지원,male,21759,advertising,intern
박건희,male,14762,marketing,assistant
구서윤,male,5317,design,assistant
장연우,male,3802,design,header
인지안,female,8105,marketing,manager
용재혁,female,3939,advertising,manager
허소정,male,13862,marketing,intern
염민경,male,29810,design,assistant
석우주,male,25960,marketing,manager
형제이,male,27123,advertising,header
한윤채,female,4429,IT,manager
여윤호,male,18159,marketing,assistant
홍하람,female,25202,marketing,assistant
허지한,male,8100,finance,assistant
마유경,female,6981,advertising,assistant
윤준성,female,26032,advertising,assistant
형시완,female,22015,marketing,assistant
육윤찬,male,15250,advertising,manager
노예은,female,7973,advertising,assistant
호도원,male,28879,marketing,manager
형태성,male,10141,IT,manager
사윤우,male,9544,advertising,header
현재훈,male,11447,finance,assistant
제태양,female,23701,marketing,assistant
동시온,male,25569,advertising,manager
이지오,female,29341,marketing,assistant
홍산,female,9730,advertising,assistant
배준희,female,13498,marketing,manager
류지운,female,7242,marketing,assistant
육연재,male,20759,advertising,assistant
김지호,female,26924,marketing,header
현지한,female,24227,marketing,manager
유지영,male,21891,advertising,assistant
두승아,male,28670,marketing,manager
장사랑,male,24714,marketing,manager
윤은혁,female,24523,marketing,header
공라온,female,15320,marketing,assistant
어주원,male,28174,finance,manager
부하온,female,15074,marketing,assistant
장우성,male,21362,marketing,header
도승재,female,7113,advertising,assistant
단혜윤,male,18307,marketing,assistant
구채율,female,29042,finance,assistant
표민정,male,12458,advertising,manager
인지혜,female,13564,advertising,assistant
이재인,male,6155,marketing,manager
형수현,female,26653,advertising,intern
송정민,female,27375,marketing,assistant
성우주,male,16406,marketing,assistant
육유나,male,20164,marketing,assistant
옥석현,male,23050,marketing,assistant
현제인,male,28741,finance,assistant
맹동훈,female,29351,marketing,manager
신로이,female,17963,marketing,intern
원서윤,female,24465,marketing,assistant
성도율,male,3749,marketing,assistant
신준희,female,10300,advertising,assistant
양민기,male,20474,advertising,assistant
은재인,male,3048,marketing,manager
장아인,male,25084,design,assistant
임하성,female,11285,marketing,manager
길하율,female,11823,design,assistant
서이준,male,25021,advertising,manager
여유성,male,18883,advertising,assistant
어현서,male,18095,marketing,assistant
빈준원,male,7951,marketing,header
온가람,female,13163,advertising,header
갈재율,male,27310,marketing,assistant
당다빈,male,11500,advertising,header
온태인,male,15388,marketing,assistant
당수지,female,12369,advertising,manager
우다빈,male,8544,IT,assistant
김승훈,female,18940,design,assistant
감새봄,male,28791,marketing,manager
동정현,male,5564,IT,intern
도지윤,female,3848,marketing,assistant
권여준,female,20648,advertising,intern
오세훈,male,4088,marketing,manager
호원준,female,10539,design,intern
예은서,male,14811,finance,assistant
편예슬,male,17230,marketing,header
허연우,female,3199,marketing,header
지라엘,female,5783,marketing,assistant
경동윤,female,17218,marketing,assistant
신은유,male,9305,advertising,manager
우이나,female,18935,design,header
단예주,female,29661,advertising,manager
전지민,male,23751,design,assistant
전시호,female,18636,advertising,header
현건우,female,8512,IT,assistant
손리안,female,25469,advertising,assistant
상준우,male,7830,marketing,assistant
목채윤,male,23449,advertising,header
복재영,male,26153,marketing,assistant
민연서,male,24406,IT,intern
편예린,male,20130,IT,assistant
제민건,male,7792,marketing,assistant
육윤,male,7320,marketing,manager
송하엘,male,16226,advertising,assistant
한하윤,female,17683,advertising,assistant
곽은우,male,26111,marketing,header
문나경,male,24806,marketing,manager
용지후,male,9069,marketing,assistant
어다혜,female,8577,marketing,assistant
길동우,female,3720,design,manager
복서원,female,6845,design,manager
신이현,female,21614,advertising,intern
갈예인,male,6101,marketing,manager
위정민,male,7499,marketing,intern
탁하리,male,8852,advertising,intern
간단비,male,21582,marketing,assistant
고서린,male,3752,IT,assistant
명인우,female,20991,design,assistant
노재민,female,7045,marketing,assistant
심선우,male,21614,advertising,assistant
심서현,male,5719,marketing,intern
복태영,male,11405,marketing,assistant
금은혁,male,4119,marketing,assistant
국태경,female,26220,marketing,manager
견지현,female,4117,marketing,header
우찬,female,27938,design,manager
탁재훈,female,3822,finance,assistant
온지율,female,4204,marketing,manager
봉정현,female,15493,marketing,manager
간채희,female,23598,marketing,assistant
현다은,male,25473,marketing,header
현지혁,male,15922,advertising,assistant
이하영,male,13700,advertising,manager
홍다솜,female,21910,design,header
윤지훈,male,14713,finance,assistant
장은비,male,16836,marketing,manager
조솔,male,19803,advertising,assistant
송라윤,male,7871,IT,assistant
경지아,female,14120,marketing,header
서다온,female,25781,IT,assistant
민보민,male,14983,marketing,manager
표가빈,male,14211,finance,header
지지호,female,19790,marketing,manager
도지우,male,27391,IT,assistant
동승찬,male,17657,design,assistant
두지우,female,26459,marketing,manager
석승윤,male,28307,finance,manager
전서은,female,16899,marketing,intern
지성훈,female,26580,marketing,assistant
표호진,male,17956,design,assistant
홍연수,female,5150,IT,manager
류하람,female,29706,advertising,assistant
박정원,female,23574,marketing,assistant
경준혁,male,29263,marketing,assistant
서다영,female,20780,marketing,manager
온나윤,female,28035,advertising,assistant
가민규,male,12664,IT,manager
복나윤,female,28170,advertising,assistant
염성진,male,23420,finance,manager
팽나린,female,20517,marketing,assistant
공하진,female,22842,advertising,assistant
감나영,male,4789,finance,header
사성우,male,20212,advertising,assistant
편성빈,male,16001,marketing,assistant
곽재윤,male,5582,marketing,assistant
피다솜,female,22202,advertising,assistant
설현진,male,26919,marketing,assistant
구나은,male,21350,marketing,manager
천규현,male,22748,marketing,assistant
마태호,female,25900,marketing,intern
차유빈,male,7457,marketing,intern
장다원,male,7687,marketing,manager
위하연,male,3258,marketing,manager
손은솔,female,24869,marketing,manager
표도진,female,3967,advertising,assistant
두다희,male,26669,marketing,header
용유진,female,24369,advertising,assistant
목이서,male,3223,IT,manager
편태린,male,23562,design,assistant
목현지,male,19652,marketing,assistant
하단우,male,25316,advertising,assistant
빈소율,female,9708,marketing,intern
구도원,female,17691,marketing,header
변소현,female,29170,marketing,manager
동예은,male,6358,marketing,assistant
편윤찬,female,22607,advertising,intern
피시원,female,24862,advertising,manager
단현서,male,7079,design,assistant
표은서,female,29211,marketing,assistant
반소이,male,7840,marketing,manager
길하성,female,24766,marketing,assistant
